rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
1811,инаугурировать,inaugurirovat',to inaugurate,Страна инаугурировала нового президента в январе,Strana inaugurirovala novogo prezidenta v yanvare,The country inaugurated the new president in January,social
1812,интронизировать,intronizirovat',to enthrone,Церковь интронизировала нового патриарха торжественной церемонией,Tserkov' intronizirovala novogo patriarkha torzhestvennnoy tseremoniyey,The church enthroned the new patriarch with a solemn ceremony,social
1813,канонизировать,kanonizirovat',to canonize,Церковь канонизировала святого после долгого рассмотрения,Tserkov' kanonizirovala svyatogo posle dolgogo rassmotreniya,The church canonized the saint after long consideration,social
1814,анафемствовать,anafemstvovat',to anathematize,Собор анафемствовал еретика за отступление от учения,Sobor anafemstvoval yeretika za otstupleniye ot ucheniya,The council anathematized the heretic for deviating from the doctrine,social
1815,медитировать,meditirovat',to meditate,Она медитирует каждое утро в течение двадцати минут,Ona meditiruyet kazhdoye utro v techeniye dvadtsati minut,She meditates every morning for twenty minutes,state
1816,визуализировать2,vizualizirovat',to visualize mentally,Тренер учит спортсменов визуализировать свою победу,Trener uchit sportsmenov vizualizirovat' svoyu pobedu,The coach teaches athletes to visualize their victory,cognition
1817,аффирмировать,affirmirovat',to affirm,Психолог рекомендует аффирмировать позитивные мысли ежедневно,Psikholog rekomenduyet affirmirovat' pozitivnyye mysli yezhednevno,The psychologist recommends affirming positive thoughts daily,cognition
1818,рефлексировать,refleksirovat',to reflect/introspect,Она рефлексирует над своими поступками перед сном,Ona refleksiruyet nad svoimi postupkami pered snom,She reflects on her actions before sleep,cognition
1819,сублимировать,sublimirovat',to sublimate,Художник сублимирует свои переживания через творчество,Khudozhnik sublimiruyet svoi perezhivaniya cherez tvorchestvo,The artist sublimates his experiences through creativity,emotion
1820,проецировать,proyetsirovat',to project psychologically,Пациент проецирует свои страхи на окружающих людей,Patsiyent proyetsiruyet svoi strakhi na okruzhayushchikh lyudey,The patient projects his fears onto the people around him,emotion
1821,фрустрировать,frustrirovat',to frustrate,Бюрократия фрустрирует людей своими бесконечными требованиями,Byurokratiya frustriruyet lyudey svoimi beskonechnymi trebovaniyami,Bureaucracy frustrates people with its endless requirements,emotion
1822,травмировать,travmirovat',to traumatize,Авария сильно травмировала ребёнка на эмоциональном уровне,Avariya sil'no travmirovala rebyonka na emotsional'nom urovne,The accident seriously traumatized the child on an emotional level,emotion
